timestamp,station_id,station_name,status,consecutive_offline,event_type,message
2026-08-27T03:44:53.369698+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T03:44:53.861885+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T03:44:54.392258+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:44:55.028991+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:44:55.617321+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:45:36.783046+00:00,,,error,,active_station_api_error,Active Station API Request Error: Expecting value: line 1 column 1 (char 0)
2026-08-27T03:45:37.734065+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T03:45:38.195068+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T03:45:38.570501+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T03:45:38.939831+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,7,check,ok
2026-08-27T03:45:39.222975+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T03:45:39.640744+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T03:45:39.998204+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T03:45:40.408504+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:45:40.731336+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:45:41.135201+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:45:41.620429+00:00,Ecocenter,Ecocenter,OFFLINE,7,check,ok
2026-08-27T03:47:01.392007+00:00,,,error,,active_station_api_error,Active Station API Request Error: Expecting value: line 1 column 1 (char 0)
2026-08-27T03:47:02.382956+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T03:47:02.753062+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T03:47:03.175539+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T03:47:03.524341+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,8,check,ok
2026-08-27T03:47:03.830632+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T03:47:04.237175+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T03:47:04.693537+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T03:47:05.314456+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:47:05.734543+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:47:06.130423+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:47:06.503850+00:00,Ecocenter,Ecocenter,OFFLINE,8,check,ok
2026-08-27T03:59:12.363157+00:00,KNJBERKE13,,error,0,maintenance_api_error,Maintenance API Request Error: Expecting value: line 1 column 1 (char 0)
2026-08-27T03:59:12.271788+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T03:59:13.858929+00:00,KNJWARET3,,error,0,maintenance_api_error,Maintenance API Request Error: Expecting value: line 1 column 1 (char 0)
2026-08-27T03:59:13.781955+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T03:59:15.210002+00:00,KNJMANAH111,,error,0,maintenance_api_error,Maintenance API Request Error: Expecting value: line 1 column 1 (char 0)
2026-08-27T03:59:15.125927+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T03:59:16.533550+00:00,KNJMANAH7,,error,8,maintenance_api_error,Maintenance API Request Error: Expecting value: line 1 column 1 (char 0)
2026-08-27T03:59:16.461227+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,9,check,ok
2026-08-27T03:59:17.829713+00:00,KNJBAYHE18,,error,0,maintenance_api_error,Maintenance API Request Error: Expecting value: line 1 column 1 (char 0)
2026-08-27T03:59:17.751504+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T03:59:19.386416+00:00,KNJLONGB89,,error,0,maintenance_api_error,Maintenance API Request Error: Expecting value: line 1 column 1 (char 0)
2026-08-27T03:59:19.300406+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T03:59:20.990465+00:00,KNJLONGB21,,error,0,maintenance_api_error,Maintenance API Request Error: Expecting value: line 1 column 1 (char 0)
2026-08-27T03:59:20.901691+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T03:59:22.622475+00:00,KNJBEACH64,,error,0,maintenance_api_error,Maintenance API Request Error: Expecting value: line 1 column 1 (char 0)
2026-08-27T03:59:22.543376+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:59:23.992503+00:00,KNJOCEAN178,,error,0,maintenance_api_error,Maintenance API Request Error: Expecting value: line 1 column 1 (char 0)
