station_id,observed_at,temp,dewpoint,humidity,wind_speed,wind_gust,wind_dir,pressure,precip_rate,precip_accum,uv,solar
KNJBAYHE18,2026-09-18T01:21:39.768942+00:00,23.61,,,6.43,10.08,205.0,30.15,0.0,0.0,,
KNJBEACH64,2026-09-18T01:21:40.426928+00:00,23.28,,,1.74,4.34,188.0,30.11,0.0,0.0,0.0,0.0
Ecocenter,2026-09-18T01:21:40.850787+00:00,,,,,,,,,,,
KNJBERKE13,2026-09-18T01:21:41.267037+00:00,22.78,,,8.78,11.3,208.0,30.15,0.0,0.0,,
KNJLONGB21,2026-09-18T01:21:41.729948+00:00,,,,,,,,,,,
KNJLONGB89,2026-09-18T01:21:42.080531+00:00,,,,9.73,12.08,176.0,30.16,0.0,0.0,,
KNJMANAH7,2026-09-18T01:21:42.548333+00:00,,,,,,,,,,,
KNJOCEAN178,2026-09-18T01:21:43.214657+00:00,23.39,,,2.52,6.95,194.0,30.12,0.0,0.01,,
KNJSEASI44,2026-09-18T01:21:43.557439+00:00,23.61,,,13.03,14.77,185.0,30.15,0.0,0.0,,
KNJWARET3,2026-09-18T01:21:46.701918+00:00,23.39,,,7.73,13.03,217.0,30.15,0.0,0.0,,0.0
KNJMANAH111,2026-09-18T01:21:47.099705+00:00,23.22,,,4.26,6.95,0.0,30.09,0.0,0.0,,
KNJBAYHE18,2026-09-18T01:22:26.100064+00:00,23.61,,,4.87,7.99,201.0,30.15,0.0,0.0,,
KNJBEACH64,2026-09-18T01:22:26.559508+00:00,23.28,,,0.0,4.34,188.0,30.11,0.0,0.0,0.0,0.0
Ecocenter,2026-09-18T01:22:26.912414+00:00,,,,,,,,,,,
KNJBERKE13,2026-09-18T01:22:27.146189+00:00,22.78,,,8.78,11.3,208.0,30.15,0.0,0.0,,
KNJLONGB21,2026-09-18T01:22:27.521645+00:00,,,,,,,,,,,
KNJLONGB89,2026-09-18T01:22:27.778212+00:00,,,,9.73,12.08,176.0,30.16,0.0,0.0,,
KNJMANAH7,2026-09-18T01:22:28.082948+00:00,,,,,,,,,,,
KNJOCEAN178,2026-09-18T01:22:28.375897+00:00,23.39,,,4.26,6.95,187.0,30.12,0.0,0.01,,
KNJSEASI44,2026-09-18T01:22:28.773823+00:00,23.61,,,11.3,14.77,186.0,30.15,0.0,0.0,,
KNJWARET3,2026-09-18T01:22:29.099968+00:00,23.39,,,5.21,13.03,167.0,30.15,0.0,0.0,,0.0
KNJMANAH111,2026-09-18T01:22:29.584100+00:00,23.22,,,3.48,6.95,0.0,30.09,0.0,0.0,,
