station_id,observed_at,temp,dewpoint,humidity,wind_speed,wind_gust,wind_dir,pressure,precip_rate,precip_accum,uv,solar
KNJBERKE13,2026-07-19T13:38:02.696827-04:00,26.78,14.5,47.0,9.3,11.82,310.0,29.87,0.0,0.03,,
KNJWARET3,2026-07-19T13:38:04.195795-04:00,25.0,17.72,64.0,9.56,17.38,298.0,29.88,0.0,0.04,,765.0
KNJMANAH111,2026-07-19T13:38:04.749822-04:00,28.11,17.61,53.0,0.78,9.56,348.0,29.81,0.0,0.04,,
KNJMANAH7,2026-07-19T13:38:05.506133-04:00,,,,,,,,,,,
KNJBAYHE18,2026-07-19T13:38:05.921481-04:00,27.78,14.72,45.0,6.43,8.17,309.0,29.87,0.0,0.02,,
KNJLONGB89,2026-07-19T13:38:06.409774-04:00,26.11,18.22,62.0,10.86,12.43,303.0,29.86,0.0,0.0,,
KNJLONGB21,2026-07-19T13:38:07.109949-04:00,27.39,18.39,58.0,9.3,12.25,327.0,29.88,0.0,0.03,,
KNJBEACH64,2026-07-19T13:38:07.970868-04:00,26.72,16.0,52.0,2.52,13.9,5.0,29.83,0.0,0.01,8.9,884.0
KNJOCEAN178,2026-07-19T13:38:08.440876-04:00,25.78,17.39,60.0,10.51,12.17,319.0,29.85,0.0,0.03,,
KNJSEASI44,2026-07-19T13:38:08.885770-04:00,26.28,15.72,52.0,15.55,18.25,319.0,29.88,0.0,0.02,,
Ecocenter,2026-07-19T13:38:09.789446-04:00,,,,,,,,,,,
KNJBERKE13,2026-07-19T17:41:44.015419+00:00,26.61,14.67,48.0,8.95,11.12,302.0,29.87,0.0,0.03,,
KNJWARET3,2026-07-19T17:41:44.483533+00:00,24.89,17.89,65.0,9.56,12.17,314.0,29.88,0.0,0.04,,570.0
KNJMANAH111,2026-07-19T17:41:45.847686+00:00,28.39,17.28,51.0,4.26,10.43,9.0,29.81,0.0,0.04,,
KNJMANAH7,2026-07-19T17:41:46.305076+00:00,,,,,,,,,,,
KNJBAYHE18,2026-07-19T17:41:46.752220+00:00,27.89,14.83,45.0,7.04,9.73,316.0,29.87,0.0,0.02,,
KNJLONGB89,2026-07-19T17:41:47.202463+00:00,26.0,17.89,61.0,12.43,13.99,321.0,29.86,0.0,0.0,,
KNJLONGB21,2026-07-19T17:41:47.749230+00:00,27.39,18.11,57.0,13.64,19.47,336.0,29.88,0.0,0.03,,
KNJBEACH64,2026-07-19T17:41:48.500815+00:00,26.78,16.11,52.0,5.21,10.43,325.0,29.83,0.0,0.01,5.7,905.0
KNJOCEAN178,2026-07-19T17:41:48.983579+00:00,25.89,18.28,63.0,11.3,12.17,290.0,29.85,0.0,0.03,,
KNJSEASI44,2026-07-19T17:41:49.745598+00:00,26.39,17.5,58.0,13.03,14.77,317.0,29.88,0.0,0.02,,
Ecocenter,2026-07-19T17:41:50.200611+00:00,,,,,,,,,,,
KNJBERKE13,2026-07-23T02:16:19.598827+00:00,26.78,16.39,53.0,12.6,15.12,332.0,29.94,0.0,0.07,,
KNJWARET3,2026-07-23T02:16:20.698351+00:00,26.11,20.0,69.0,7.73,9.56,333.0,29.94,0.0,0.1,,0.0
KNJMANAH111,2026-07-23T02:16:21.651459+00:00,26.28,17.61,59.0,3.48,7.82,332.0,29.88,0.0,0.11,,
KNJMANAH7,2026-07-23T02:16:22.768818+00:00,,,,,,,,,,,
KNJBAYHE18,2026-07-23T02:16:23.352951+00:00,25.78,15.78,54.0,7.21,11.64,311.0,29.95,0.0,0.0,,
KNJLONGB89,2026-07-23T02:16:24.523978+00:00,25.11,22.39,85.0,5.04,5.65,206.0,29.93,0.0,0.02,,
KNJLONGB21,2026-07-23T02:16:25.423604+00:00,,,0.0,10.08,13.21,340.0,29.95,0.0,0.14,,
KNJBEACH64,2026-07-23T02:16:26.387349+00:00,26.0,16.5,56.0,7.73,13.03,355.0,29.91,0.0,0.02,0.0,0.0
KNJOCEAN178,2026-07-23T02:16:27.342736+00:00,26.61,19.0,63.0,8.78,10.43,333.0,29.91,0.0,0.05,,
KNJSEASI44,2026-07-23T02:16:28.058828+00:00,,,,,,,,,,,
Ecocenter,2026-07-23T02:16:28.657305+00:00,,,,,,,,,,,
KNJBERKE13,2026-07-24T01:02:52.996228+00:00,20.89,16.06,74.0,3.3,3.74,172.0,30.21,0.0,0.02,,
KNJWARET3,2026-07-24T01:02:53.555011+00:00,20.78,16.78,78.0,1.74,3.48,163.0,30.2,0.0,0.0,,0.0
KNJMANAH111,2026-07-24T01:02:54.258715+00:00,19.72,14.89,74.0,0.0,0.0,155.0,30.14,0.0,0.04,,
KNJMANAH7,2026-07-24T01:02:54.665504+00:00,,,,,,,,,,,
KNJBAYHE18,2026-07-24T01:02:55.053547+00:00,21.61,15.0,66.0,2.17,3.48,163.0,30.22,0.0,0.0,,
KNJLONGB89,2026-07-24T01:02:55.692198+00:00,21.28,15.56,70.0,0.61,2.35,178.0,30.2,0.0,0.01,,
KNJLONGB21,2026-07-24T01:02:56.477698+00:00,,,0.0,2.52,3.3,217.0,30.22,0.0,0.03,,
KNJBEACH64,2026-07-24T01:02:57.266267+00:00,21.28,15.22,68.0,3.48,3.48,161.0,30.16,0.0,0.0,0.0,0.0
KNJOCEAN178,2026-07-24T01:02:57.762150+00:00,21.39,16.39,73.0,0.0,1.74,209.0,30.19,0.0,0.0,,
KNJSEASI44,2026-07-24T01:02:58.167247+00:00,21.78,16.28,71.0,3.48,6.08,179.0,30.21,0.0,0.0,,
Ecocenter,2026-07-24T01:02:58.471101+00:00,,,,,,,,,,,
KNJBERKE13,2026-07-24T16:56:19.260034+00:00,24.72,15.33,56.0,7.04,8.34,69.0,30.25,0.0,0.0,,
KNJWARET3,2026-07-24T16:56:19.878891+00:00,23.89,17.39,67.0,8.78,8.69,59.0,30.26,0.0,0.0,,775.0
KNJMANAH111,2026-07-24T16:56:20.385395+00:00,25.39,15.72,55.0,1.74,5.21,47.0,30.19,0.0,0.0,,
KNJMANAH7,2026-07-24T16:56:20.957774+00:00,,,,,,,,,,,
KNJBAYHE18,2026-07-24T16:56:21.525661+00:00,26.0,16.83,57.0,3.3,6.0,46.0,30.25,0.0,0.0,,
KNJLONGB89,2026-07-24T16:56:21.983391+00:00,24.61,16.06,59.0,4.87,8.78,75.0,30.24,0.0,0.0,,
KNJLONGB21,2026-07-24T16:56:22.446173+00:00,26.89,17.06,55.0,6.0,9.3,101.0,30.26,0.0,0.0,,
KNJBEACH64,2026-07-24T16:56:22.971301+00:00,24.28,17.28,65.0,7.73,9.56,153.0,30.22,0.0,0.0,8.1,756.0
KNJOCEAN178,2026-07-24T16:56:23.577472+00:00,23.22,18.11,73.0,7.73,7.82,74.0,30.23,0.0,0.0,,
KNJSEASI44,2026-07-24T16:56:23.963863+00:00,23.78,17.5,68.0,7.73,10.43,43.0,30.26,0.0,0.0,,
Ecocenter,2026-07-24T16:56:24.294145+00:00,,,,,,,,,,,
KNJBERKE13,2026-07-24T17:34:14.077243+00:00,24.11,15.61,59.0,6.0,6.6,76.0,30.24,0.0,0.0,,
KNJWARET3,2026-07-24T17:34:14.564920+00:00,24.11,16.89,64.0,5.21,8.69,90.0,30.25,0.0,0.0,,780.0
KNJMANAH111,2026-07-24T17:34:15.027840+00:00,25.78,15.22,52.0,5.21,9.56,44.0,30.18,0.0,0.0,,
KNJMANAH7,2026-07-24T17:34:15.554818+00:00,,,,,,,,,,,
KNJBAYHE18,2026-07-24T17:34:16.694179+00:00,25.78,16.89,58.0,4.69,6.78,87.0,30.25,0.0,0.0,,
KNJLONGB89,2026-07-24T17:34:17.495782+00:00,24.11,16.39,62.0,9.56,12.6,57.0,30.22,0.0,0.0,,
KNJLONGB21,2026-07-24T17:34:17.904905+00:00,,,0.0,5.04,8.34,76.0,30.25,0.0,0.0,,
KNJBEACH64,2026-07-24T17:34:18.318341+00:00,24.72,17.39,64.0,9.56,9.56,102.0,30.21,0.0,0.0,8.7,844.0
KNJOCEAN178,2026-07-24T17:34:18.857549+00:00,23.28,18.22,73.0,9.56,10.43,85.0,30.22,0.0,0.0,,
KNJSEASI44,2026-07-24T17:34:19.203710+00:00,24.11,17.61,67.0,4.26,7.82,139.0,30.25,0.0,0.0,,
Ecocenter,2026-07-24T17:34:19.514397+00:00,,,,,,,,,,,
KNJBERKE13,2026-07-25T19:30:46.151661+00:00,22.72,15.56,64.0,12.25,13.64,77.0,30.08,0.0,0.0,,
KNJWARET3,2026-07-25T19:30:46.828823+00:00,22.89,18.0,74.0,8.78,10.43,69.0,30.09,0.0,0.0,,369.0
KNJMANAH111,2026-07-25T19:30:47.492398+00:00,23.89,16.72,64.0,10.51,10.43,98.0,30.03,0.0,0.0,,
KNJMANAH7,2026-07-25T19:30:48.004577+00:00,,,,,,,,,,,
KNJBAYHE18,2026-07-25T19:30:48.495157+00:00,25.0,15.89,57.0,6.26,9.73,80.0,30.09,0.0,0.0,,
KNJLONGB89,2026-07-25T19:30:49.485804+00:00,24.0,16.5,63.0,9.12,12.08,68.0,30.06,0.0,0.0,,
KNJLONGB21,2026-07-25T19:30:50.112505+00:00,,,0.0,8.52,11.82,96.0,30.09,0.0,0.0,,
KNJBEACH64,2026-07-25T19:30:50.603100+00:00,23.22,17.0,68.0,13.03,13.9,82.0,30.05,0.0,0.0,5.7,693.0
KNJOCEAN178,2026-07-25T19:30:51.026400+00:00,22.39,17.28,73.0,12.25,13.9,0.0,30.06,0.0,0.0,,
KNJSEASI44,2026-07-25T19:30:51.466147+00:00,22.89,16.22,66.0,10.51,15.64,77.0,30.09,0.0,0.0,,
Ecocenter,2026-07-25T19:30:51.868092+00:00,,,,,,,,,,,
KNJBERKE13,2026-07-25T20:27:47.103705+00:00,22.5,15.33,64.0,13.03,14.16,76.0,30.07,0.0,0.0,,
KNJWARET3,2026-07-25T20:27:47.496780+00:00,22.5,17.61,74.0,8.78,12.17,72.0,30.08,0.0,0.0,,545.0
KNJMANAH111,2026-07-25T20:27:47.899926+00:00,23.5,16.78,66.0,7.04,7.82,81.0,30.01,0.0,0.0,,
KNJMANAH7,2026-07-25T20:27:48.298162+00:00,,,,,,,,,,,
KNJBAYHE18,2026-07-25T20:27:48.865902+00:00,24.22,14.33,54.0,4.69,11.12,81.0,30.08,0.0,0.0,,
KNJLONGB89,2026-07-25T20:27:49.351724+00:00,23.78,17.28,67.0,8.34,11.47,65.0,30.06,0.0,0.0,,
KNJLONGB21,2026-07-25T20:27:49.732070+00:00,,,0.0,7.39,10.51,102.0,30.08,0.0,0.0,,
KNJBEACH64,2026-07-25T20:27:50.159340+00:00,22.89,16.89,69.0,9.56,10.43,110.0,30.04,0.0,0.0,3.5,573.0
KNJOCEAN178,2026-07-25T20:27:50.580934+00:00,22.5,17.78,75.0,9.56,13.03,71.0,30.06,0.0,0.0,,
KNJSEASI44,2026-07-25T20:27:50.935769+00:00,23.22,16.28,65.0,10.51,14.77,79.0,30.08,0.0,0.0,,
Ecocenter,2026-07-25T20:27:51.313279+00:00,,,,,,,,,,,
KNJBERKE13,2026-07-25T21:03:24.698433+00:00,22.22,15.33,65.0,13.82,15.38,80.0,30.06,0.0,0.0,,
KNJWARET3,2026-07-25T21:03:25.228611+00:00,22.39,17.5,74.0,9.56,13.03,98.0,30.08,0.0,0.0,,236.0
KNJMANAH111,2026-07-25T21:03:25.650698+00:00,23.5,16.78,66.0,7.04,8.69,57.0,30.01,0.0,0.0,,
KNJMANAH7,2026-07-25T21:03:26.022495+00:00,,,,,,,,,,,
KNJBAYHE18,2026-07-25T21:03:26.396332+00:00,23.61,14.61,57.0,8.17,12.25,81.0,30.08,0.0,0.0,,
KNJLONGB89,2026-07-25T21:03:26.813944+00:00,23.61,17.33,68.0,7.99,11.64,68.0,30.05,0.0,0.0,,
KNJLONGB21,2026-07-25T21:03:27.223782+00:00,,,0.0,7.56,9.3,94.0,30.08,0.0,0.0,,
KNJBEACH64,2026-07-25T21:03:27.614255+00:00,22.89,16.22,66.0,7.04,11.3,107.0,30.04,0.0,0.0,2.0,272.0
KNJOCEAN178,2026-07-25T21:03:28.029085+00:00,22.28,17.39,74.0,12.25,15.64,0.0,30.05,0.0,0.0,,
KNJSEASI44,2026-07-25T21:03:28.365662+00:00,22.72,16.0,66.0,9.56,13.9,66.0,30.08,0.0,0.0,,
Ecocenter,2026-07-25T21:03:28.683469+00:00,,,,,,,,,,,
KNJBERKE13,2026-07-25T21:07:18.016935+00:00,22.22,15.06,64.0,13.82,15.12,80.0,30.06,0.0,0.0,,
KNJWARET3,2026-07-25T21:07:18.403285+00:00,22.39,17.28,73.0,11.3,12.17,80.0,30.07,0.0,0.0,,309.0
KNJMANAH111,2026-07-25T21:07:18.819210+00:00,23.28,16.78,67.0,10.51,12.17,86.0,30.01,0.0,0.0,,
KNJMANAH7,2026-07-25T21:07:19.200708+00:00,,,,,,,,,,,
KNJBAYHE18,2026-07-25T21:07:19.523072+00:00,23.28,14.56,58.0,6.26,11.3,83.0,30.08,0.0,0.0,,
KNJLONGB89,2026-07-25T21:07:19.870801+00:00,23.39,17.11,68.0,9.3,13.21,65.0,30.04,0.0,0.0,,
KNJLONGB21,2026-07-25T21:07:20.217995+00:00,,,0.0,5.82,7.99,77.0,30.08,0.0,0.0,,
KNJBEACH64,2026-07-25T21:07:20.615630+00:00,22.89,16.22,66.0,8.78,13.03,106.0,30.04,0.0,0.0,2.3,540.0
KNJOCEAN178,2026-07-25T21:07:21.014672+00:00,22.28,17.72,75.0,10.51,13.9,0.0,30.05,0.0,0.0,,
KNJSEASI44,2026-07-25T21:07:21.349924+00:00,22.72,16.28,67.0,8.78,12.17,76.0,30.08,0.0,0.0,,
Ecocenter,2026-07-25T21:07:21.695125+00:00,,,,,,,,,,,
KNJBERKE13,2026-07-27T01:26:22.707965+00:00,22.22,16.5,70.0,6.0,7.99,204.0,29.9,0.0,0.0,,
KNJWARET3,2026-07-27T01:26:23.375981+00:00,22.39,18.78,80.0,5.21,8.69,182.0,29.89,0.0,0.0,,0.0
KNJMANAH111,2026-07-27T01:26:23.871840+00:00,22.11,17.5,75.0,4.26,4.34,136.0,29.83,0.0,0.0,,
KNJMANAH7,2026-07-27T01:26:24.379812+00:00,,,,,,,,,,,
KNJBAYHE18,2026-07-27T01:26:24.825246+00:00,22.5,17.17,72.0,2.95,3.91,159.0,29.89,0.0,0.0,,
