timestamp,station_id,station_name,status,consecutive_offline,event_type,message
2026-07-13T21:35:13.556036+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-07-13T21:35:14.039067+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-07-13T21:35:14.595697+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-07-13T21:35:15.047719+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-07-13T21:35:15.484606+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-07-13T21:35:15.978006+00:00,Ecocenter,Ecocenter,OFFLINE,6,check,ok
2026-08-27T05:10:22.029150+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:10:22.547938+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:10:24.358062+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T05:10:24.951520+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T05:10:25.376515+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T05:10:26.952027+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:10:27.425081+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:10:27.895274+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T05:10:28.369281+00:00,KNJMANAH111,Stafford Municipal Complex,RECOVERED,6,recovered,Station_recovered
2026-08-27T05:11:27.182227+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:11:27.639616+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:11:27.951817+00:00,Ecocenter,Ecocenter,OFFLINE,8,check,ok
2026-08-27T05:11:28.192503+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T05:11:28.500163+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T05:11:28.842779+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T05:11:29.219617+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,8,check,ok
2026-08-27T05:11:29.471887+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:11:29.891173+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:11:30.268832+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T05:11:30.572347+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T05:30:27.723891+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:30:28.802439+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:30:28.936136+00:00,Ecocenter,Ecocenter,OFFLINE,9,check,ok
2026-08-27T05:34:25.144161+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:34:25.586476+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:34:25.723082+00:00,Ecocenter,Ecocenter,OFFLINE,1,check,ok
2026-08-27T05:34:25.778129+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T05:34:26.100805+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T05:34:26.359022+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T05:34:26.573994+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,1,check,ok
2026-08-27T05:34:26.737334+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:34:27.081165+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:34:27.274518+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T05:34:27.512416+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T05:44:48.979031+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:44:49.484422+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:44:49.610907+00:00,Ecocenter,Ecocenter,OFFLINE,2,check,ok
2026-08-27T05:44:50.093712+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T05:44:50.251680+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T05:44:50.446059+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T05:44:50.777064+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,2,check,ok
2026-08-27T05:44:50.917659+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:44:51.170653+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:44:51.370846+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T05:44:51.556524+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T05:55:02.005192+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:55:02.601501+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:55:02.799297+00:00,Ecocenter,Ecocenter,OFFLINE,3,offline_alert,"Threshold Reached, email sent"
2026-08-27T05:55:04.047193+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T05:55:04.278243+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T05:55:04.586523+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T05:55:04.762922+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,3,offline_alert,"Threshold Reached, email sent"
2026-08-27T05:55:05.952717+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:55:06.211141+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:55:06.541532+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T05:55:06.842472+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T05:59:46.937083+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:59:47.377242+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:59:48.675531+00:00,Ecocenter2,Ecocenter,OFFLINE,1,check,ok
2026-08-27T05:59:48.844802+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T05:59:48.958567+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T05:59:49.173146+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T05:59:50.343114+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
